model,language,framework,repo_url,success,execution_time_seconds,valid_openapi,files_processed,error,expected_paths_count,generated_paths_count,path_match_count,path_recall,path_precision,expected_methods_count,generated_methods_count,method_match_count,method_recall,method_precision
llama3,typescript,Express & Firestore,https://github.com/marcusmonteirodesouza/typescript-firestore-terraform-realworld-backend,True,112.27,True,27,,12,12,11,0.9167,0.9167,19,18,17,0.8947,0.9444
llama3,typescript,Express + PostgreSQL + Drizzle + Docker,https://github.com/AhmedFawzy31/realworld-express-postgresql-drizzle,True,154.44,True,43,,12,10,2,0.1667,0.2,19,14,3,0.1579,0.2143
llama3,typescript,Neo4j + NestJS,https://github.com/neo4j-examples/nestjs-neo4j-realworld-example,True,208.33,True,31,,12,9,8,0.6667,0.8889,19,12,11,0.5789,0.9167
llama3,typescript,NestJS + MikroORM,https://github.com/mikro-orm/nestjs-realworld-example-app,True,208.53,True,37,,12,10,8,0.6667,0.8,19,15,13,0.6842,0.8667
llama3,typescript,NestJS + TypeORM,https://github.com/lujakob/nestjs-realworld-example-app,True,226.21,True,35,,12,10,8,0.6667,0.8,19,14,12,0.6316,0.8571
llama3,Java,Spring Boot + MyBatis,https://github.com/joyheros/realworld,True,304.59,True,83,,12,12,0,0.0,0.0,19,16,0,0.0,0.0
llama3,Java,Spring Boot + Spring Data JPA + PostgreSQL,https://github.com/marcusmonteirodesouza/realworld-backend-spring-boot-java-keycloak-postgresql,True,154.49,True,45,,12,9,9,0.75,1.0,19,15,15,0.7895,1.0
llama3,Java,Spring Boot + WebFlux + MongoDB,https://github.com/a-mountain/realworld-spring-webflux,True,312.13,True,66,,12,13,0,0.0,0.0,19,18,0,0.0,0.0
llama3,C#,ASP.NET Core + Couchbase,https://github.com/mgroves/realworld-aspnet-couchbase,True,334.04,True,130,,12,11,0,0.0,0.0,19,12,0,0.0,0.0
llama3,C#,ASP.NET Core + Microservices,https://github.com/profjordanov/realworld-microservices,True,146.26,False,73,,12,9,0,0.0,0.0,19,13,0,0.0,0.0
